Data e Ora;Cumulata Sensore 1295 (Arcevia);Cumulata Sensore 2637 (Bettolelle);Cumulata Sensore 2858 (Barbara);Cumulata Sensore 2964 (Corinaldo);Umidita' Sensore 3452 (Montemurello);Livello Idrometrico Sensore 1008 [m] (Serra dei Conti);Livello Idrometrico Sensore 1112 [m] (Bettolelle);Livello Idrometrico Sensore 1283 [m] (Corinaldo/Nevola);Livello Idrometrico Sensore 3072 [m] (Pianello di Ostra);Livello Idrometrico Sensore 3405 [m] (Ponte Garibaldi)
01/01/2024 00:30;0,4;0;0;0;36;0,5;0,74;1,17;0,69;0,45
01/01/2024 01:30;0,2;0;0;0;35;0,51;0,74;1,17;0,69;0,48
01/01/2024 02:30;0;0;0;0;36;0,51;0,75;1,17;0,69;0,55
01/01/2024 03:30;0;0;0;0;35;0,5;0,74;1,18;0,69;0,55
01/01/2024 04:30;0;0;0;0;36;0,5;0,74;1,17;0,7;0,53
01/01/2024 05:30;0;0;0;0;36;0,49;0,74;1,18;0,69;0,56
01/01/2024 06:30;0;0;0;0;35;0,5;0,74;1,17;0,69;0,45
01/01/2024 07:30;0;0;0;0;36;0,49;0,74;1,18;0,69;0,43
01/01/2024 08:30;0;0;0;0;35;0,5;0,74;1,17;0,69;0,39
01/01/2024 09:30;0;0;0;0;35;0,5;0,74;1,18;0,7;0,4
01/01/2024 10:30;0;0;0;0;35;0,5;0,74;1,17;0,69;0,34
01/01/2024 11:30;0;0;0;0;35;0,5;0,74;1,17;0,7;0,39
01/01/2024 12:30;0;0;0;0;35;0,51;0,74;1,18;0,7;0,31
01/01/2024 13:30;0;0;0;0;35;0,5;0,74;1,18;0,71;0,3
01/01/2024 14:30;0;0;0;0;35;0,5;0,74;1,17;0,71;0,21
01/01/2024 15:30;0;0;0;0;35;0,5;0,74;1,17;0,7;0,1
01/01/2024 16:30;0;0;0;0;35;0,5;0,74;1,17;0,7;0,1
01/01/2024 17:30;0;0;0;0;35;0,5;0,74;1,19;0,69;0,1
01/01/2024 18:30;0;0;0;0;35;0,5;0,73;1,17;0,7;0,09
01/01/2024 19:30;0;0;0;0;35;0,5;0,74;1,18;0,68;0,09
01/01/2024 20:30;0;0;0;0;35;0,5;0,73;1,18;0,7;0,11
01/01/2024 21:30;0;0;0;0;35;0,49;0,74;1,18;0,69;0,11
01/01/2024 22:30;0;0;0;0;35;0,5;0,74;1,19;0,71;0,22
01/01/2024 23:30;0;0;0;0;35;0,49;0,73;1,18;0,69;0,26
02/01/2024 00:30;0;0;0;0;36;0,49;0,74;1,19;0,71;0,4
02/01/2024 01:30;0;0;0;0;35;0,49;0,74;1,18;0,71;0,44
02/01/2024 02:30;0;0;0;0;35;0,49;0,74;1,18;0,68;0,5
02/01/2024 03:30;0;0;0;0;35;0,49;0,74;1,19;0,71;0,48
02/01/2024 04:30;0;0;0;0;35;0,49;0,73;1,18;0,7;0,47
02/01/2024 05:30;0;0;0;0;35;0,49;0,74;1,2;0,7;0,41
02/01/2024 06:30;0;0;0;0;35;0,49;0,74;1,19;0,71;0,41
02/01/2024 07:30;0;0;0;0;35;0,49;0,74;1,18;0,7;0,3
02/01/2024 08:30;0;0;0;0;35;0,49;0,74;1,19;0,7;0,28
02/01/2024 09:30;0;0;0;0;35;0,49;0,74;1,18;0,7;0,21
02/01/2024 10:30;0;0;0;0;35;0,5;0,73;1,18;0,71;0,16
02/01/2024 11:30;0;0;0;0;35;0,5;0,74;1,17;0,69;0,25
02/01/2024 12:30;0;0;0;0;35;0,49;0,74;1,17;0,71;0,21
02/01/2024 13:30;0;0;0;0;35;0,5;0,74;1,18;0,69;0,19
02/01/2024 14:30;0;0;0;0;35;0,5;0,75;1,17;0,68;0,18
02/01/2024 15:30;0;0;0;0;35;0,5;0,74;1,17;0,68;0,19
02/01/2024 16:30;0;0;0;0;35;0,5;0,74;1,17;0,68;0,14
02/01/2024 17:30;0;0;0;0;35;0,5;0,75;1,18;0,67;0,13
02/01/2024 18:30;0;0;0;0;35;0,5;0,74;1,18;0,69;0,11
02/01/2024 19:30;0;0;0;0;35;0,5;0,74;1,18;0,69;0,15
02/01/2024 20:30;0;0;0;0;35;0,5;0,73;1,17;0,68;0,1
